Funding Source ID,Funding Source name,Funding Source type ID,
FS175,Aviv Foundation INC,Grants and Contributions,
FS176,US Department of Education- Rel Agreement,Federal Grants,
FS177,Advanced Education,Grants and Contributions,
FS178,Prairie View Middle School,Program Service Income,
FS179,Walton Family Foundation (WD + Advocacy),Grants and Contributions,
FS180,Georgia Town School District,Platform Income,
FS181,Cleveland Court Elementary School,Platform Income,
FS182,LANDIS ELEMENTARY SCHOOL,Platform Income,
FS183,AT&T,Grants and Contributions,
FS184,Rowan-Salisbury School System,Platform Income,
FS185,Chicago Public Schools - Widespread,Widespread Income,
FS186,Southwest Regional Education Cooperative,Widespread Income,
FS187,National Philanthropic Trust,Grants and Contributions,
FS188,Guilford County Schools,Platform Income,
FS189,Green Dot Public Schools California,Platform Income,
FS190,Bronx Engineering and Technology Academy,Platform Income,
FS191,Grand Valley State University,Program Service Income,
FS192,ESC of Central Ohio,Platform Income,
FS193,New Visions for Public Schools,Program Service Income,
FS194,Oklahoma State Department of Education,Widespread Income,
FS195,High School for Health Professions & Human Services,Program Service Income,
FS196,"Littera Education, INC",Widespread Income,
FS197,The High School of Fashion Industries,Platform Income,
FS198,City Bridge,Widespread Income,
FS199,Youth Connection Charter School - Latino Youth High School,Program Service Income,
FS200,Ombudsman Chicago South Campus,Program Service Income,
FS201,Ombudsman Chicago West Campus,Program Service Income,
FS202,Youth Connection Charter School - West,Program Service Income,
FS203,Ombudsman Chicago Roseland,Program Service Income,
FS204,Excel Academy of Englewood,Program Service Income,
FS205,Excel Academy of Roseland,Program Service Income,
FS206,Youth Connection Charter Schools - Progressive Leadership Academy,Program Service Income,
FS207,A. Philip Randolph Campus High School,Program Service Income,
FS208,PENCIL Foundation,Widespread Income,
FS209,University of Notre Dame,Platform Income,
FS210,OSSE DC High School,Federal Grants,
FS211,OSSE DC Middle School,Federal Grants,
FS212,"Dancing Tides Foundation, Inc",Grants and Contributions,
FS213,National Science Foundation (CU Boulder Talk Back),Federal Grants,
FS214,Fulton County Schools,Widespread Income,
FS215,University of Colorado at Boulder (LEVI Program),Grants and Contributions,
FS216,Region 4 Education Service Center,Widespread Income,
FS217,Maryland State Department of Education,Widespread Income,
FS218,The National Collaborative for Accelerated Learning,Grants and Contributions,
FS219,Foundation For Metrowest,Grants and Contributions,
FS220,Prior Years Surplus,Program Service Income,
FS221,Region One Education Service Center,Widespread Income,
FS222,Michael & Susan Dell Foundation,Grants and Contributions,
FS223,William E. Grady CTE High School - NYC,Program Service Income,
FS224,University of Chicago,Widespread Income,
FS225,Lohengrin Family Foundation,Grants and Contributions,
FS226,Achieve First Brooklyn Charter Schools,Program Service Income,
FS227,Phoenix Charter Academy,Widespread Income,
FS228,Rachel Carson High School,Widespread Income,
FS229,Cincinnati Public Schools,Widespread Income,
FS230,Bogota Board of Education,Platform Income,
FS231,Abraham Lincoln High School,Program Service Income,
