Account,Posted dt.,Doc dt.,Doc,Memo/Description,Department,JNL,Debit,Credit,Balance
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,1009.49,545244.34
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,1249.47,543994.87
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,4131.52,539863.35
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,4226.99,535636.36
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,6292.59,529343.77
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,7964.24,521379.53
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,15666.99,505712.54
1001,7/6/2020,7/6/2020,Comcast,Comcast July internet expenses-Comcast July internet expenses,,HJ,,139.55,505572.99
1001,7/6/2020,7/6/2020,HRKnowledge,To record HR Outsourcing Admin fee-To record HR Outsourcing Admin fee for fellows,,HJ,,129.8,505443.19
1001,7/6/2020,7/6/2020,HRKnowledge,To record HR Outsourcing Admin fee-To record HR Outsourcing Admin fee for fellows,,HJ,,200.6,505242.59
1001,7/6/2020,7/6/2020,HRKnowledge,To record HR Outsourcing Admin fee-To record HR Outsourcing Admin fee for fellows,,HJ,,200.6,505041.99
1001,7/6/2020,7/6/2020,HRKnowledge,To record HR Outsourcing Admin fee-To record HR Outsourcing Admin fee for fellows,,HJ,,649,504392.99
1001,7/6/2020,7/6/2020,HRKnowledge,HR Outsourcing admin fee for staff PD6/30-HR Outsourcing admin fee for staff PD6/30,,HJ,,520,503872.99
1001,7/6/2020,7/6/2020,TAG Resources LLC,To record 401K payment-To record 401K payment,,HJ,,2778.91,501094.08
1001,7/8/2020,7/8/2020,Catherine M Tierney,Bill.Com Import--,,HJ,,350,500744.08
1001,7/8/2020,7/8/2020,Eversource,July electricity expenses-July electricity expenses,,HJ,,32.46,500711.62
1001,7/8/2020,7/8/2020,Julie Balfour,Bill.Com Import--,,HJ,,3333.33,497378.29
1001,7/8/2020,7/8/2020,Verizon,Mifi devices for College Board-Mifi devices for College Board,,HJ,,450.8,496927.49
1001,7/8/2020,7/8/2020,Verizon,Mifi devices for College Board-Mifi devices for College Board,,HJ,,1337.45,495590.04
1001,7/9/2020,7/9/2020,Inspire Business Cen,July rent and June credit for Jackson Center-July rent and June credit for Jackson Center,,HJ,,25,495565.04
1001,7/10/2020,7/10/2020,ADP,To record PR expenses for staff and fellows-To record PR expenses for staff and fellows,,HJ,,60.39,495504.65
1001,7/10/2020,7/10/2020,ADP,To record PR expenses for staff and fellows-To record PR expenses for staff and fellows,,HJ,,93.34,495411.31
1001,7/10/2020,7/10/2020,ADP,To record PR expenses for staff and fellows-To record PR expenses for staff and fellows,,HJ,,93.34,495317.97
1001,7/10/2020,7/10/2020,ADP,To record PR expenses for staff and fellows-To record PR expenses for staff and fellows,,HJ,,301.98,495015.99
1001,7/10/2020,7/10/2020,ADP,To record PR expenses for staff and fellows-To record PR expenses for staff and fellows,,HJ,,2948.15,492067.84
1001,7/13/2020,7/13/2020,Feinberg Hanson,Bill.Com Import--,,HJ,,608.1,491459.74
1001,7/13/2020,7/13/2020,Media Cause,Bill.Com Import--,,HJ,,23223,468236.74
1001,7/13/2020,7/13/2020,Ohio Indemnity,Bill.Com Import--,,HJ,,3821.17,464415.57
1001,7/13/2020,7/13/2020,Stryder,Bill.Com Import--,,HJ,,30000,434415.57
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (PPP)-Import Payroll,,HJ,,17318.82,417096.75
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,3.5,417093.25
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,646.56,416446.69
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,699.08,415747.61
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,709.49,415038.12
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,914.2,414123.92
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,1319.35,412804.57
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,1734.33,411070.24
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,1987.73,409082.51
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,1987.74,407094.77
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,1987.74,,409082.51
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,2063.4,407019.11
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,2119.29,404899.82
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,2336.38,402563.44
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,3086.33,399477.11
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,4064.67,395412.44
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,4963.38,390449.06
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,6398.64,384050.42
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,7807.62,376242.8
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,8036.11,368206.69
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,14647.05,353559.64
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,16079.16,337480.48
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,20643.07,316837.41
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,21940.82,294896.59
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,35878.53,259018.06
1001,7/15/2020,7/15/2020,71520,82L-PRPD-071520 -Import Payroll (GENERL)-Import Payroll,,HJ,,54444.5,204573.56
1001,7/15/2020,7/15/2020,20200715,To record the individual donations for 7/1-7/15/2020-To record the individual donations for 7/1-7/15/2020 QGiv,,HJ,18.16,,204591.72
1001,7/15/2020,7/15/2020,20200715,Fund transfer from #8984-Fund transfer from #8984,,HJ,401000,,605591.72
1001,7/16/2020,7/16/2020,Bank of America VISA,Concur Payment- Bambora-Concur Payment- Bambora,,HJ,,390.46,605201.26
1001,7/17/2020,7/17/2020,T-Mobile,Phone expenses for July-Phone expenses for July,,HJ,,61.78,605139.48
1001,7/17/2020,7/17/2020,T-Mobile,Phone expenses for July-Phone expenses for July,,HJ,,95.47,605044.01
1001,7/17/2020,7/17/2020,T-Mobile,Phone expenses for July-Phone expenses for July,,HJ,,95.47,604948.54
1001,7/17/2020,7/17/2020,T-Mobile,Phone expenses for July-Phone expenses for July,,HJ,,308.88,604639.66
1001,7/17/2020,7/17/2020,TASC,TASC Withdraw-TASC Withdraw,,HJ,,887.88,603751.78
1001,7/17/2020,7/17/2020,The Hanover Ins,Hanover Ins. Partial Payment of Invoice FY21-Hanover Ins. Partial Payment of Invoice FY21,,HJ,,1423,602328.78
1001,7/20/2020,7/20/2020,TAG Resources LLC,Employees'401K payment-Employees'401K payment,,HJ,,3641.8,598686.98
1001,7/22/2020,7/22/2020,20200722,To record individual donations-To record individual donations,,HJ,,85.82,598601.16
1001,7/22/2020,7/22/2020,Board Member Connect,Bill.Com Import--,,HJ,,2000,596601.16
1001,7/22/2020,7/22/2020,Whiteboard,Bill.Com Import--,,HJ,,7500,589101.16
1001,7/23/2020,7/23/2020,Mighty Good Agency,Bill.Com Import--,,HJ,,1750,587351.16
1001,7/23/2020,7/23/2020,Salesforce.org,Bill.Com Import--,,HJ,,1718.64,585632.52
1001,7/23/2020,7/23/2020,Salesforce.org,Bill.Com Import--,,HJ,,2656.08,582976.44
1001,7/23/2020,7/23/2020,Salesforce.org,Bill.Com Import--,,HJ,,2656.08,580320.36
1001,7/23/2020,7/23/2020,Salesforce.org,Bill.Com Import--,,HJ,,8593.2,571727.16
1001,7/24/2020,7/24/2020,HRKnowledge,HR Outsourcing Admin fee-HR Outsourcing Admin fee for staff,,HJ,,780,570947.16
1001,7/24/2020,7/24/2020,The Hanover Ins,Bill.Com Import--,,HJ,,5858.25,565088.91
1001,7/24/2020,7/24/2020,VIANT US LLC,Bill.Com Import--,,HJ,,3194.39,561894.52
1001,7/24/2020,7/24/2020,Walnut Street Realty,Bill.Com Import--,,HJ,,2178.87,559715.65
1001,7/24/2020,7/24/2020,Woot Math Inc,Bill.Com Import--,,HJ,,24858.59,534857.06
1001,7/27/2020,7/27/2020,Leslie Wade LLC,Bill.Com Import--,,HJ,,7744,527113.06
1001,7/27/2020,7/27/2020,Monivett Acevedo,Concur Payment Bambora-Concur Payment Bambora,,HJ,,7.32,527105.74
1001,7/27/2020,7/27/2020,Monivett Acevedo,Concur Payment Bambora-Concur Payment Bambora,,HJ,,25.3,527080.44
1001,7/27/2020,7/27/2020,Monivett Acevedo,Concur Payment Bambora-Concur Payment Bambora,,HJ,,40.66,527039.78
1001,7/27/2020,7/27/2020,Monivett Acevedo,Concur Payment Bambora-Concur Payment Bambora,,HJ,,43.6,526996.18
1001,7/27/2020,7/27/2020,Registration Section,Registration Section - Div of Corporations-Check 2019 - Registration Section - Div of Corporations,,HJ,,70,526926.18
1001,7/27/2020,7/27/2020,Registration Section,Registration Section - Div of Corporations-Check 2020 Registration Section - Div of Corporations,,HJ,,8.75,526917.43
1001,7/28/2020,7/28/2020,20200728,Americorps AR and Reimbursement for June-Americorps Reimbursement for June -Reimbursement Payment,,HJ,38793.06,,565710.49
1001,7/30/2020,7/30/2020,Abila,Bill.Com Import--,,HJ,,250,565460.49
1001,7/30/2020,7/30/2020,C & L Printing,Bill.Com Import--,,HJ,,650.47,564810.02
1001,7/30/2020,7/30/2020,Exponent Partners,Bill.Com Import--,,HJ,,875,563935.02
1001,7/30/2020,7/30/2020,Fred C. Church,Bill.Com Import--,,HJ,,9401.6,554533.42
1001,7/30/2020,7/30/2020,Kika Enterprises LL,Bill.Com Import--,,HJ,,97.99,554435.43
1001,7/30/2020,7/30/2020,Kika Enterprises LL,Bill.Com Import--,,HJ,97.99,,554533.42
1001,7/30/2020,7/30/2020,Voices for National,Bill.Com Import--,,HJ,,1500,553033.42
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,699.09,552334.33
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,709.49,551624.84
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,1734.33,549890.51
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,2119.28,547771.23
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,3086.33,544684.9
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,3306.63,541378.27
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,4064.65,537313.62
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,4870.21,532443.41
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,4963.38,527480.03
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,8036.13,519443.9
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,8760.15,510683.75
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,10286.57,500397.18
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,11375.62,489021.56
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,17055.67,471965.89
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,19888.18,452077.71
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,23709.01,428368.7
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,51455.94,376912.76
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-Import Payroll,,HJ,,58340,318572.76
1001,7/31/2020,7/31/2020,73120,82L-PRPD-073120 -Import Payroll-DUPUIS CHRISTOPHER M,D108,HJ,,640.02,317932.74
1001,7/31/2020,7/31/2020,Abila,Bill.Com Import--,,HJ,,110,317822.74
1001,7/31/2020,7/31/2020,Stryder,Bill.Com Import--,,HJ,,962.5,316860.24
1001,7/31/2020,7/31/2020,Stryder,Bill.Com Import--,,HJ,,1487.5,315372.74
1001,7/31/2020,7/31/2020,Stryder,Bill.Com Import--,,HJ,,1487.5,313885.24
1001,7/31/2020,7/31/2020,Stryder,Bill.Com Import--,,HJ,,4812.5,309072.74
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,47.83,309024.91
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,191.32,308833.59
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,413.36,308420.23
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,441.95,307978.28
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,1030.98,306947.3
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,1040.86,305906.44
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,1064.78,304841.66
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,1139.62,303702.04
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,2108.99,301593.05
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,2629.42,298963.63
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,4272.52,294691.11
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,8671.71,286019.4
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,10408.6,275610.8
1001,8/3/2020,8/3/2020,BCBS -August,BCBS - August Health Insurance-August -BCBS Health Insurance,,HJ,,11588.7,264022.1
1001,8/3/2020,8/3/2020,Catherine M Tierney,Bill.Com Import--,,HJ,,62.5,263959.6
1001,8/3/2020,8/3/2020,City Colleges of Chi,Bill.Com Import--,,HJ,,3845,260114.6
1001,8/3/2020,8/3/2020,City Colleges of Chi,Bill.Com Import--,,HJ,3845,,263959.6
1001,8/4/2020,8/4/2020,Bank of America VISA,BofA CC Transaction July Payment-BofA CC Transaction July Payment,,HJ,,1400.64,262558.96
1001,8/4/2020,8/4/2020,Bank of America VISA,BofA CC Transaction July Payment-BofA CC Transaction July Payment,,HJ,,8936.48,253622.48
1001,8/4/2020,8/4/2020,Bank of America VISA,BofA CC Transaction July Payment-BofA CC Transaction July Payment,,HJ,,14947.66,238674.82
1001,8/4/2020,8/4/2020,Bank of America VISA,BofA CC Transaction July Payment-BofA CC Transaction July Payment,,HJ,,17964.49,220710.33
1001,8/4/2020,8/4/2020,Bank of America VISA,BofA CC Transaction July Payment-BofA CC Transaction July Payment,,HJ,,31179.64,189530.69
1001,8/4/2020,8/4/2020,Bank of America VISA,BofA CC Transaction July Payment-BofA CC Transaction July Payment,,HJ,,40118.07,149412.62
1001,8/4/2020,8/4/2020,BET-CH,Received A Better Chicago payment-Received A Better Chicago payment,,HJ,75000,,224412.62
1001,8/4/2020,8/4/2020,Department of Labor,Bill.Com Import--,,HJ,,35,224377.62
1001,8/4/2020,8/4/2020,Impact Catalysts,Bill.Com Import--,,HJ,,10000,214377.62
1001,8/4/2020,8/4/2020,Jorge Ramirez,Bill.Com Import--,,HJ,,635,213742.62
1001,8/4/2020,8/4/2020,Julie Balfour,Bill.Com Import--,,HJ,,3333.33,210409.29
1001,8/4/2020,8/4/2020,TAG Resources LLC,401K Payment for PD7/31/2020-401K Payment for PD7/31/2020,,HJ,,2762.28,207647.01
1001,8/4/2020,8/4/2020,Woot Math Inc,Bill.Com Import--,,HJ,,29347.25,178299.76
1001,8/4/2020,8/4/2020,Woot Math Inc,Bill.Com Import--,,HJ,,29347.25,148952.51
1001,8/4/2020,8/4/2020,Woot Math Inc,Bill.Com Import--,,HJ,,58694.5,90258.01
1001,8/5/2020,8/5/2020,20200805,Received CME Chicago grant-Received CME Chicago grant,,HJ,50000,,140258.01
1001,8/5/2020,8/5/2020,20200805,Bank fees for individual donation-Bank fees for individual donation,,HJ,,31.38,140226.63
1001,8/5/2020,8/5/2020,Comcast,August Internet expense-August Internet expense,,HJ,,139.55,140087.08
1001,8/7/2020,8/7/2020,ADP,State and Local Jurisdiction fees-State and Local Jurisdiction fees,,HJ,,62.65,140024.43
1001,8/7/2020,8/7/2020,ADP,PR Process fee for staff ADP-PR Process fee for staff ADP,,HJ,,3544.7,136479.73
1001,8/7/2020,8/7/2020,HRKnowledge,New training and development software Zyware-New training and development software Zyware,,HJ,,4000,132479.73
1001,8/7/2020,8/7/2020,HRKnowledge,HR Outsourcing Admin fee-HR Outsourcing Admin fee for staff PD7/31,,HJ,,850,131629.73
1001,8/7/2020,8/7/2020,Verizon,August Mifi devices for fellows-August Mifi devices for fellows,,HJ,,450.8,131178.93
1001,8/7/2020,8/7/2020,Verizon,August Mifi devices for fellows-August Mifi devices for fellows,,HJ,,2339.55,128839.38
1001,8/10/2020,8/10/2020,Camelot Education,Received funds from Camelot Education-Received funds from Camelot Education,,HJ,20615,,149454.38
1001,8/10/2020,8/10/2020,City Colleges of Chi,Bill.Com Import--,,HJ,3845,,153299.38
1001,8/10/2020,8/10/2020,Inspire Business Cen,August Jackson Center rent-August Jackson Center rent,,HJ,,500,152799.38
1001,8/10/2020,8/10/2020,JE-21-0011,Blue 20/20 Vision Insurance - August Invoice-Blue 20/20 Vision Insurance -August Invoice,,HJ,,13.29,152786.09
1001,8/10/2020,8/10/2020,JE-21-0011,Blue 20/20 Vision Insurance - August Invoice-Blue 20/20 Vision Insurance -August Invoice,,HJ,,20.55,152765.54
1001,8/10/2020,8/10/2020,JE-21-0011,Blue 20/20 Vision Insurance - August Invoice-Blue 20/20 Vision Insurance -August Invoice,,HJ,,20.55,152744.99
1001,8/10/2020,8/10/2020,JE-21-0011,Blue 20/20 Vision Insurance - August Invoice-Blue 20/20 Vision Insurance -August Invoice,,HJ,,66.48,152678.51
1001,8/11/2020,8/11/2020,Eversource,August electricity expense-August electricity expense,,HJ,,30.34,152648.17
1001,8/12/2020,8/12/2020,20200812,Transfer from #8984 to #6488-Transfer from #8984 to #6488,,HJ,452000,,604648.17
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,699.08,603949.09
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,709.48,603239.61
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,1734.34,601505.27
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,2119.29,599385.98
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,3086.31,596299.67
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,3642.78,592656.89
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,4064.67,588592.22
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,4710.84,583881.38
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,4963.4,578917.98
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,8036.11,570881.87
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,8391.79,562490.08
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,10687.45,551802.63
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,10982.13,540820.5
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,16021.18,524799.32
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,16887.51,507911.81
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,30822.74,477089.07
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,43299.08,433789.99
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Import Payroll,,HJ,,83757.1,350032.89
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Wage Pay Credit of 2.8K and 966,,HJ,4057.61,,354090.5
1001,8/14/2020,8/14/2020,82L-PRPD-081520,82L-PRPD-081520 -IMPORT PAYROLL-Workers Comp,,HJ,,632.27,353458.23
1001,8/14/2020,8/14/2020,AAFCPAS,Bill.Com Import--,,HJ,,4000,349458.23
1001,8/14/2020,8/14/2020,City Colleges of Chi,Bill.Com Import--,,HJ,,3845,345613.23
1001,8/14/2020,8/14/2020,Feinberg Hanson,Bill.Com Import--,,HJ,,13077.72,332535.51
1001,8/14/2020,8/14/2020,Media Cause,Bill.Com Import--,,HJ,,26200,306335.51
1001,8/15/2020,8/15/2020,LUX-PRPD-081520,LUX-IMPORT PAYROLL-Import Payroll,,HJ,,2647.29,303688.22
